Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek
15.0,570611.23,0.0,47.42,4.021,137.5843871,7.943,2012.0,3.0,16.0,4.0
1.0,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866,2011.0,11.0,18.0,4.0
20.0,1789687.65,0.0,69.37,,,7.527,2010.0,9.0,24.0,4.0
9.0,519823.3,0.0,49.96,2.7710000000000004,215.43728540000004,6.56,2010.0,11.0,19.0,4.0
5.0,359206.21,0.0,,3.63,221.4342146,5.943,,,,
11.0,1569607.94,0.0,52.77,3.51,223.9170153,6.832999999999998,,,,
15.0,607475.44,0.0,79.97,3.972,135.8738387,7.806,,,,
2.0,1758050.79,0.0,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011.0,1.0,7.0,4.0
17.0,986922.62,0.0,,3.793,131.03754840000002,6.235,,,,
3.0,431985.36,0.0,75.19,3.688,225.2351496,6.664,2012.0,5.0,11.0,4.0
20.0,2045837.55,0.0,39.79,3.739,213.4725116,6.961,,,,
2.0,1797732.56,0.0,76.42,3.786,215.1544822,7.931,,,,
9.0,485389.15,,78.51,2.642,214.6564301,6.442,2010.0,7.0,9.0,4.0
17.0,1046782.52,0.0,68.91,3.63,,5.936,,,,
3.0,384200.69,0.0,,2.667,214.7027646,,,,,
14.0,1953544.76,0.0,78.47,3.76,186.1399808,8.625,2011.0,7.0,15.0,4.0
1.0,1494251.5,0.0,74.78,2.854,210.3374261,7.808,2010.0,5.0,14.0,4.0
8.0,860336.16,0.0,49.76,,214.7492449,6.299,2010.0,3.0,12.0,4.0
5.0,298697.84,0.0,67.53,,210.939388,,2010.0,4.0,30.0,4.0
10.0,1768172.31,0.0,90.32,,126.1266,9.524,2010.0,6.0,25.0,4.0
13.0,2018314.71,0.0,78.82,2.814,126.1392,7.951,2010.0,7.0,2.0,4.0
3.0,364076.85,0.0,83.52,2.637,214.7858259,7.343,2010.0,6.0,18.0,4.0
2.0,1799520.14,0.0,46.75,,219.355063,7.057,2012.0,1.0,6.0,4.0
18.0,1087051.26,0.0,69.75,3.815,135.4468,8.89,,,,
4.0,2302504.86,0.0,42.4,2.86,126.7934,7.127000000000002,2010.0,12.0,10.0,4.0
3.0,419497.95,0.0,82.7,3.346,225.3068615,6.664,2012.0,6.0,22.0,4.0
19.0,1366395.96,0.0,72.83,2.932,132.5983871,8.099,2010.0,7.0,30.0,4.0
14.0,2095591.63,0.0,34.89,,,8.992,2010.0,2.0,26.0,4.0
8.0,994801.4,1.0,33.34,2.548,214.62141890000004,6.299,2010.0,2.0,12.0,4.0
18.0,1256282.79,0.0,69.12,2.906,132.2939355,,2010.0,5.0,28.0,4.0
20.0,1799737.79,1.0,28.85,3.179,204.6432267,7.484,2010.0,12.0,31.0,4.0
19.0,1468350.36,0.0,,3.722,138.1629,8.15,2012.0,6.0,22.0,4.0
2.0,2124451.54,0.0,39.69,2.514,210.9451605,,2010.0,2.0,19.0,4.0
13.0,1811606.21,0.0,32.71,,130.27922579999998,6.104,2012.0,1.0,20.0,4.0
11.0,1757242.51,1.0,69.9,2.735,215.0614025,7.564,2010.0,11.0,26.0,4.0
15.0,660838.75,0.0,,2.909,131.637,,2010.0,2.0,19.0,4.0
7.0,457340.06,0.0,39.3,3.936,197.7227385,8.09,2012.0,4.0,20.0,4.0
9.0,513073.87,,82.99,2.637,215.0166484,6.384,2010.0,6.0,18.0,4.0
14.0,1864746.1,0.0,34.32,3.193,182.5983058,,2011.0,1.0,7.0,4.0
8.0,836707.85,0.0,75.32,2.582,214.8785562,6.315,2010.0,9.0,17.0,4.0
5.0,275142.17,0.0,89.42,3.682,216.0464364,6.529,2011.0,7.0,29.0,4.0
7.0,597876.55,1.0,57.84,3.596,198.0950484,7.872000000000001,2012.0,9.0,7.0,4.0
1.0,1466046.67,0.0,,3.786,215.5037878,7.682,2011.0,5.0,27.0,4.0
19.0,1467473.63,0.0,68.26,,134.94254840000002,7.657999999999999,2011.0,6.0,10.0,4.0
3.0,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197,2011.0,11.0,18.0,4.0
16.0,614253.33,0.0,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010.0,7.0,9.0,4.0
13.0,1970341.38,0.0,75.95,3.606,129.2015806,6.877000000000002,2011.0,8.0,12.0,4.0
18.0,1048134.24,0.0,73.25,3.84,138.1857097,8.535,,,,
13.0,2025582.62,0.0,52.5,3.529,130.82619350000002,6.104,2012.0,3.0,16.0,4.0
17.0,855459.96,0.0,,2.8310000000000004,126.5461613,,2010.0,11.0,12.0,4.0
4.0,2036231.39,0.0,82.84,3.627,129.1507742,5.644,2011.0,7.0,22.0,4.0
4.0,2066541.86,,84.59,3.469,129.1125,5.644,2011.0,7.0,8.0,4.0
10.0,1831676.03,0.0,88.44,3.112,126.1283548,9.199,,,,
6.0,1639358.93,0.0,74.24,3.807,217.0146941,6.855,2011.0,4.0,22.0,4.0
7.0,532739.77,0.0,50.6,3.804,197.5886046,8.09,2012.0,5.0,25.0,4.0
5.0,301827.36,0.0,62.37,,212.5604113,6.768,2010.0,11.0,12.0,4.0
3.0,403342.4,0.0,75.54,3.285,,7.197,2011.0,10.0,7.0,4.0
3.0,396968.8,0.0,78.53,2.705,214.4958382,7.343,2010.0,6.0,4.0,4.0
3.0,424513.08,0.0,73.44,3.594,226.9688442,6.034,2012.0,10.0,19.0,4.0
14.0,2248645.59,0.0,72.62,2.78,182.4424199,8.899,2010.0,6.0,18.0,4.0
7.0,716388.81,,20.74,2.778,,,,,,
17.0,845252.21,0.0,57.14,2.841,126.1119032,,2010.0,6.0,11.0,4.0
8.0,856796.1,0.0,86.05,3.638,219.0075249,,2011.0,8.0,12.0,4.0
19.0,1255087.26,0.0,55.2,4.17,137.9230667,8.15,2012.0,4.0,20.0,4.0
